ID_Cliente,Età,Durata_Abbonamento,Tariffa_Mensile,Dati_Consumati,Servizio_Clienti_Contatti,Churn,Costo_per_GB
1,62,39,83.34,16.67,4,0,5.0
2,65,57,28.65,41.02,4,0,0.7
3,18,41,51.39,27.44,2,0,1.87
4,21,23,37.7,3.25,4,0,11.6
5,21,31,74.7,23.73,0,0,3.15
6,57,20,28.2,34.52,8,0,0.82
7,27,5,51.76,27.38,1,1,1.89
8,37,21,42.13,29.05,7,0,1.45
9,39,43,60.51,12.01,4,1,5.04
10,68,11,47.99,42.54,1,0,1.13
11,54,4,76.51,28.51,0,0,2.68
12,41,23,21.97,35.95,9,1,0.61
13,24,38,70.72,49.11,5,0,1.44
14,42,59,38.45,21.98,1,1,1.75
15,42,30,41.5,44.17,8,0,0.94
16,30,42,84.02,1.36,1,0,61.78
17,19,41,96.45,2.64,6,1,36.53
18,56,18,45.32,29.92,0,1,1.51
19,57,52,86.14,16.26,0,0,5.3
20,41,41,28.32,13.17,2,0,2.15
21,64,43,70.72,14.62,0,0,4.84
22,42,31,80.08,16.6,7,0,4.82
23,35,30,32.48,36.72,2,0,0.88
24,55,34,54.08,28.89,7,1,1.87
25,43,31,91.42,39.66,5,0,2.31
26,31,47,28.29,41.68,4,0,0.68
27,26,38,21.45,42.3,0,0,0.51
28,27,25,67.25,21.32,7,1,3.15
29,38,17,54.84,21.64,9,1,2.53
30,69,36,83.9,46.39,8,0,1.81
31,34,40,93.88,33.43,1,0,2.81
32,69,30,43.93,4.94,3,0,8.89
33,23,2,51.07,27.57,2,1,1.85
34,33,24,58.9,18.44,2,1,3.19
35,65,9,67.05,49.38,5,0,1.36
36,18,1,98.71,1.67,7,1,59.11
37,36,24,75.79,31.0,1,1,2.44
38,53,38,51.16,36.46,5,0,1.4
39,42,48,41.1,15.16,3,1,2.71
40,67,27,95.57,48.71,9,0,1.96
41,69,26,30.84,43.12,5,0,0.72
42,47,26,77.62,45.87,6,1,1.69
43,37,7,94.03,1.94,3,0,48.47
44,37,25,73.17,28.92,6,1,2.53
45,32,56,53.84,15.44,7,0,3.49
46,57,16,35.92,42.6,5,0,0.84
47,50,38,49.4,32.01,6,0,1.54
48,19,42,76.55,27.4,9,0,2.79
49,27,18,71.96,6.61,9,0,10.89
50,50,17,94.24,27.47,5,0,3.43
51,49,49,89.35,31.96,7,0,2.8
52,28,44,85.29,47.84,5,1,1.78
53,41,47,92.92,29.67,3,0,3.13
54,53,6,42.11,48.4,3,1,0.87
55,29,55,49.56,48.12,4,0,1.03
56,68,20,50.39,32.86,0,1,1.53
57,46,48,64.84,25.79,1,0,2.51
58,52,23,73.46,23.84,3,0,3.08
59,18,46,42.94,44.63,9,0,0.96
60,18,12,21.56,2.38,3,1,9.06
61,54,12,51.94,6.58,3,0,7.89
62,23,34,44.68,6.0,8,0,7.45
63,56,8,95.37,38.09,8,0,2.5
64,58,56,91.06,17.64,3,0,5.16
65,35,27,88.82,32.26,8,0,2.75
66,33,49,72.24,30.59,9,0,2.36
67,22,8,47.54,19.91,4,0,2.39
68,59,48,63.91,27.05,0,0,2.36
69,60,55,85.22,32.61,6,0,2.61
70,49,33,27.89,47.11,8,0,0.59
71,19,37,84.09,29.21,6,0,2.88
72,19,19,23.29,31.1,3,0,0.75
73,57,24,85.31,4.32,8,0,19.75
74,59,22,84.61,47.66,2,0,1.78
75,53,3,24.08,26.88,8,0,0.9
76,56,9,70.17,40.26,8,0,1.74
77,29,11,60.2,3.46,8,0,17.4
78,64,6,33.59,21.62,2,0,1.55
79,36,39,31.87,13.59,5,0,2.35
80,45,39,81.86,14.08,6,0,5.81
81,18,37,65.42,39.78,5,0,1.64
82,32,2,98.64,31.57,8,0,3.12
83,53,54,98.58,22.55,5,0,4.37
84,30,37,99.41,1.52,8,1,65.4
85,60,6,29.49,48.28,2,0,0.61
86,38,6,95.06,48.14,0,0,1.97
